,med_inc,county,time,state,fips_county
55,46679,Randolph County,2020,1,111
56,40821,Russell County,2020,1,113
57,61973,St. Clair County,2020,1,115
58,88444,Shelby County,2020,1,117
59,32275,Sumter County,2020,1,119
60,44802,Talladega County,2020,1,121
61,46654,Tallapoosa County,2020,1,123
62,56610,Tuscaloosa County,2020,1,125
63,46519,Walker County,2020,1,127
64,36346,Washington County,2020,1,129
65,31909,Wilcox County,2020,1,131
66,46453,Winston County,2020,1,133
67,79128,Aleutians East Borough,2020,2,013
68,92216,Aleutians West Census Area,2020,2,016
69,84577,Anchorage Borough,2020,2,020
70,52214,Bethel Census Area,2020,2,050
71,87032,Bristol Bay Borough,2020,2,060
72,84063,Chugach Census Area,2020,2,063
73,61215,Copper River Census Area,2020,2,066
74,80192,Denali Borough,2020,2,068
75,72334,Dillingham Census Area,2020,2,070
76,76650,Fairbanks North Star Borough,2020,2,090
77,105044,Haines Borough,2020,2,100
78,55593,Hoonah-Angoon Census Area,2020,2,105
79,89204,Juneau Borough,2020,2,110
80,68448,Kenai Peninsula Borough,2020,2,122
81,76780,Ketchikan Gateway Borough,2020,2,130
82,72028,Kodiak Island Borough,2020,2,150
83,37566,Kusilvak Census Area,2020,2,158
84,54386,Lake and Peninsula Borough,2020,2,164
85,89502,Matanuska-Susitna Borough,2020,2,170
86,64309,Nome Census Area,2020,2,180
87,94759,North Slope Borough,2020,2,185
88,65194,Northwest Arctic Borough,2020,2,188
89,66096,Petersburg Borough,2020,2,195
90,53638,Prince of Wales-Hyder Census Area,2020,2,198
91,79363,Sitka Borough,2020,2,220
92,78421,Skagway Municipality,2020,2,230
93,64544,Southeast Fairbanks Census Area,2020,2,240
94,64643,Wrangell City and Borough,2020,2,275
95,68352,Yakutat Borough,2020,2,282
96,43060,Yukon-Koyukuk Census Area,2020,2,290
97,36319,Apache County,2020,4,001
98,51171,Cochise County,2020,4,003
99,57146,Coconino County,2020,4,005
100,49280,Gila County,2020,4,007
101,55419,Graham County,2020,4,009
102,67530,Greenlee County,2020,4,011
103,41637,La Paz County,2020,4,012
104,71799,Maricopa County,2020,4,013
105,46678,Mohave County,2020,4,015
106,46698,Navajo County,2020,4,017
107,56551,Pima County,2020,4,019
108,66992,Pinal County,2020,4,021
109,44402,Santa Cruz County,2020,4,023
110,58860,Yavapai County,2020,4,025
111,54278,Yuma County,2020,4,027
112,51186,Arkansas County,2020,5,001
113,44677,Ashley County,2020,5,003
114,44833,Baxter County,2020,5,005
115,78678,Benton County,2020,5,007
116,48153,Boone County,2020,5,009
117,41578,Bradley County,2020,5,011
118,50865,Calhoun County,2020,5,013
119,45397,Carroll County,2020,5,015
120,35992,Chicot County,2020,5,017
121,46464,Clark County,2020,5,019
122,43723,Clay County,2020,5,021
123,49964,Cleburne County,2020,5,023
124,57697,Cleveland County,2020,5,025
125,44925,Columbia County,2020,5,027
126,47049,Conway County,2020,5,029
127,51797,Craighead County,2020,5,031
128,54534,Crawford County,2020,5,033
129,47545,Crittenden County,2020,5,035
130,40587,Cross County,2020,5,037
131,34649,Dallas County,2020,5,039
132,37421,Desha County,2020,5,041
133,46787,Drew County,2020,5,043
134,57367,Faulkner County,2020,5,045
135,47256,Franklin County,2020,5,047
136,39839,Fulton County,2020,5,049
137,46459,Garland County,2020,5,051
138,62077,Grant County,2020,5,053
139,53821,Greene County,2020,5,055
140,42790,Hempstead County,2020,5,057
141,49582,Hot Spring County,2020,5,059
142,40566,Howard County,2020,5,061
143,50834,Independence County,2020,5,063
144,41787,Izard County,2020,5,065
145,40789,Jackson County,2020,5,067
146,40588,Jefferson County,2020,5,069
147,39439,Johnson County,2020,5,071
148,40007,Lafayette County,2020,5,073
149,41188,Lawrence County,2020,5,075
150,32502,Lee County,2020,5,077
151,47903,Lincoln County,2020,5,079
152,47125,Little River County,2020,5,081
153,43577,Logan County,2020,5,083
154,59623,Lonoke County,2020,5,085
155,45144,Madison County,2020,5,087
156,39888,Marion County,2020,5,089
157,43634,Miller County,2020,5,091
158,47892,Mississippi County,2020,5,093
159,35833,Monroe County,2020,5,095
160,42751,Montgomery County,2020,5,097
161,41854,Nevada County,2020,5,099
162,40698,Newton County,2020,5,101
163,46374,Ouachita County,2020,5,103
164,46317,Perry County,2020,5,105
165,35167,Phillips County,2020,5,107
166,43133,Pike County,2020,5,109
167,36150,Poinsett County,2020,5,111
168,42915,Polk County,2020,5,113
169,46350,Pope County,2020,5,115
170,48478,Prairie County,2020,5,117
171,56171,Pulaski County,2020,5,119
172,46495,Randolph County,2020,5,121
173,37759,St. Francis County,2020,5,123
174,70550,Saline County,2020,5,125
175,41230,Scott County,2020,5,127
176,33814,Searcy County,2020,5,129
177,48627,Sebastian County,2020,5,131
178,45838,Sevier County,2020,5,133
179,40437,Sharp County,2020,5,135
180,36148,Stone County,2020,5,137
181,47857,Union County,2020,5,139
182,42345,Van Buren County,2020,5,141
183,57712,Washington County,2020,5,143
184,43765,White County,2020,5,145
185,37634,Woodruff County,2020,5,147
186,48728,Yell County,2020,5,149
187,113518,Alameda County,2020,6,001
188,64542,Alpine County,2020,6,003
189,68141,Amador County,2020,6,005
190,54718,Butte County,2020,6,007
191,66329,Calaveras County,2020,6,009
192,59422,Colusa County,2020,6,011
193,106484,Contra Costa County,2020,6,013
194,47442,Del Norte County,2020,6,015
195,87792,El Dorado County,2020,6,017
196,61401,Fresno County,2020,6,019
197,57779,Glenn County,2020,6,021
198,56071,Humboldt County,2020,6,023
199,47599,Imperial County,2020,6,025
200,55981,Inyo County,2020,6,027
201,58583,Kern County,2020,6,029
202,60319,Kings County,2020,6,031
203,52345,Lake County,2020,6,033
204,63803,Lassen County,2020,6,035
205,75624,Los Angeles County,2020,6,037
206,68744,Madera County,2020,6,039
207,127601,Marin County,2020,6,041
208,56887,Mariposa County,2020,6,043
209,53176,Mendocino County,2020,6,045
210,58998,Merced County,2020,6,047
211,46838,Modoc County,2020,6,049
212,73204,Mono County,2020,6,051
213,85031,Monterey County,2020,6,053
214,92149,Napa County,2020,6,055
215,74158,Nevada County,2020,6,057
216,98786,Orange County,2020,6,059
217,100662,Placer County,2020,6,061
218,58489,Plumas County,2020,6,063
219,76409,Riverside County,2020,6,065
220,72953,Sacramento County,2020,6,067
221,91185,San Benito County,2020,6,069
222,65984,San Bernardino County,2020,6,071
223,87126,San Diego County,2020,6,073
224,121722,San Francisco County,2020,6,075
225,70685,San Joaquin County,2020,6,077
226,79455,San Luis Obispo County,2020,6,079
227,132369,San Mateo County,2020,6,081
228,86136,Santa Barbara County,2020,6,083
229,139462,Santa Clara County,2020,6,085
230,93015,Santa Cruz County,2020,6,087
231,59108,Shasta County,2020,6,089
232,59422,Sierra County,2020,6,091
233,49441,Siskiyou County,2020,6,093
234,83678,Solano County,2020,6,095
235,87366,Sonoma County,2020,6,097
236,64501,Stanislaus County,2020,6,099
237,65791,Sutter County,2020,6,101
238,61571,Tehama County,2020,6,103
239,45113,Trinity County,2020,6,105
240,62058,Tulare County,2020,6,107
241,63336,Tuolumne County,2020,6,109
242,90961,Ventura County,2020,6,111
243,80668,Yolo County,2020,6,113
244,56278,Yuba County,2020,6,115
245,73615,Adams County,2020,8,001
246,50390,Alamosa County,2020,8,003
247,82381,Arapahoe County,2020,8,005
248,63961,Archuleta County,2020,8,007
249,42531,Baca County,2020,8,009
250,50688,Bent County,2020,8,011
251,88289,Boulder County,2020,8,013
252,106263,Broomfield County,2020,8,014
253,64220,Chaffee County,2020,8,015
254,56383,Cheyenne County,2020,8,017
255,79422,Clear Creek County,2020,8,019
256,39822,Conejos County,2020,8,021
257,35639,Costilla County,2020,8,023
258,36836,Crowley County,2020,8,025
259,60485,Custer County,2020,8,027
260,53553,Delta County,2020,8,029
261,75355,Denver County,2020,8,031
262,50821,Dolores County,2020,8,033
263,122290,Douglas County,2020,8,035
264,94309,Eagle County,2020,8,037
265,107139,Elbert County,2020,8,039
266,72459,El Paso County,2020,8,041
267,52414,Fremont County,2020,8,043
268,79958,Garfield County,2020,8,045
269,79622,Gilpin County,2020,8,047
270,74484,Grand County,2020,8,049
271,68214,Gunnison County,2020,8,051
272,63034,Hinsdale County,2020,8,053
273,49502,Huerfano County,2020,8,055
274,55430,Jackson County,2020,8,057
275,90097,Jefferson County,2020,8,059
276,49179,Kiowa County,2020,8,061
277,54642,Kit Carson County,2020,8,063
278,61518,Lake County,2020,8,065
279,66080,La Plata County,2020,8,067
280,80344,Larimer County,2020,8,069
281,46281,Las Animas County,2020,8,071
282,50169,Lincoln County,2020,8,073
283,55717,Logan County,2020,8,075
284,64141,Mesa County,2020,8,077
285,58004,Mineral County,2020,8,079
286,63128,Moffat County,2020,8,081
287,54053,Montezuma County,2020,8,083
288,59764,Montrose County,2020,8,085
289,63297,Morgan County,2020,8,087
290,46235,Otero County,2020,8,089
291,74492,Ouray County,2020,8,091
292,77598,Park County,2020,8,093
293,57385,Phillips County,2020,8,095
294,93634,Pitkin County,2020,8,097
295,47463,Prowers County,2020,8,099
296,50885,Pueblo County,2020,8,101
297,64039,Rio Blanco County,2020,8,103
298,51416,Rio Grande County,2020,8,105
299,82330,Routt County,2020,8,107
300,56012,Saguache County,2020,8,109
301,54387,San Juan County,2020,8,111
302,77099,San Miguel County,2020,8,113
303,43354,Sedgwick County,2020,8,115
304,91079,Summit County,2020,8,117
305,62845,Teller County,2020,8,119
306,59174,Washington County,2020,8,121
307,77937,Weld County,2020,8,123
308,82124,Yuma County,2020,8,125
309,98828,Fairfield County,2020,9,001
310,73476,Hartford County,2020,9,003
311,79512,Litchfield County,2020,9,005
312,89970,Middlesex County,2020,9,007
313,72517,New Haven County,2020,9,009
314,77202,New London County,2020,9,011
315,87247,Tolland County,2020,9,013
316,66349,Windham County,2020,9,015
317,61538,Kent County,2020,10,001
318,75145,New Castle County,2020,10,003
319,69829,Sussex County,2020,10,005
320,91957,District of Columbia,2020,11,001
321,51995,Alachua County,2020,12,001
322,61514,Baker County,2020,12,003
323,61332,Bay County,2020,12,005
324,48260,Bradford County,2020,12,007
325,65871,Brevard County,2020,12,009
326,63901,Broward County,2020,12,011
327,43994,Calhoun County,2020,12,013
328,58368,Charlotte County,2020,12,015
329,48574,Citrus County,2020,12,017
330,72520,Clay County,2020,12,019
331,81895,Collier County,2020,12,021
332,46670,Columbia County,2020,12,023
333,45807,DeSoto County,2020,12,027
334,41450,Dixie County,2020,12,029
335,55202,Duval County,2020,12,031
336,57089,Escambia County,2020,12,033
337,67054,Flagler County,2020,12,035
338,47206,Franklin County,2020,12,037
339,42698,Gadsden County,2020,12,039
340,52000,Gilchrist County,2020,12,041
341,45328,Glades County,2020,12,043
342,51593,Gulf County,2020,12,045
343,41871,Hamilton County,2020,12,047
344,46264,Hardee County,2020,12,049
345,45652,Hendry County,2020,12,051
346,52108,Hernando County,2020,12,053
347,48922,Highlands County,2020,12,055
348,65272,Hillsborough County,2020,12,057
349,41969,Holmes County,2020,12,059
350,72934,Indian River County,2020,12,061
351,44108,Jackson County,2020,12,063
352,54354,Jefferson County,2020,12,065
353,41635,Lafayette County,2020,12,067
354,58501,Lake County,2020,12,069
355,66140,Lee County,2020,12,071
356,61403,Leon County,2020,12,073
357,41894,Levy County,2020,12,075
358,46734,Liberty County,2020,12,077
359,41650,Madison County,2020,12,079
360,63328,Manatee County,2020,12,081
361,48553,Marion County,2020,12,083
362,72736,Martin County,2020,12,085
363,59259,Miami-Dade County,2020,12,086
364,68584,Monroe County,2020,12,087
365,75123,Nassau County,2020,12,089
366,65977,Okaloosa County,2020,12,091
367,48028,Okeechobee County,2020,12,093
368,69074,Orange County,2020,12,095
369,63018,Osceola County,2020,12,097
370,68200,Palm Beach County,2020,12,099
371,52332,Pasco County,2020,12,101
372,61532,Pinellas County,2020,12,103
373,54591,Polk County,2020,12,105
374,36527,Putnam County,2020,12,107
375,94343,St. Johns County,2020,12,109
376,59023,St. Lucie County,2020,12,111
377,71583,Santa Rosa County,2020,12,113
378,66138,Sarasota County,2020,12,115
379,71930,Seminole County,2020,12,117
380,60278,Sumter County,2020,12,119
381,46264,Suwannee County,2020,12,121
382,45527,Taylor County,2020,12,123
383,49313,Union County,2020,12,125
384,55463,Volusia County,2020,12,127
385,64671,Wakulla County,2020,12,129
386,74108,Walton County,2020,12,131
387,44661,Washington County,2020,12,133
388,44871,Appling County,2020,13,001
389,39633,Atkinson County,2020,13,003
390,41756,Bacon County,2020,13,005
391,43696,Baker County,2020,13,007
392,49350,Baldwin County,2020,13,009
393,62836,Banks County,2020,13,011
394,64460,Barrow County,2020,13,013
395,64980,Bartow County,2020,13,015
396,39305,Ben Hill County,2020,13,017
397,45094,Berrien County,2020,13,019
398,44467,Bibb County,2020,13,021
399,51448,Bleckley County,2020,13,023
400,39256,Brantley County,2020,13,025
401,42973,Brooks County,2020,13,027
402,81890,Bryan County,2020,13,029
403,48629,Bulloch County,2020,13,031
404,44870,Burke County,2020,13,033
405,52720,Butts County,2020,13,035
406,37984,Calhoun County,2020,13,037
407,67525,Camden County,2020,13,039
408,42583,Candler County,2020,13,043
409,64554,Carroll County,2020,13,045
410,61906,Catoosa County,2020,13,047
411,46061,Charlton County,2020,13,049
412,56357,Chatham County,2020,13,051
413,51811,Chattahoochee County,2020,13,053
414,44399,Chattooga County,2020,13,055
415,90675,Cherokee County,2020,13,057
416,46693,Clarke County,2020,13,059
417,35937,Clay County,2020,13,061
418,49370,Clayton County,2020,13,063
419,43088,Clinch County,2020,13,065
420,81517,Cobb County,2020,13,067
421,44520,Coffee County,2020,13,069
422,41673,Colquitt County,2020,13,071
423,87489,Columbia County,2020,13,073
424,35225,Cook County,2020,13,075
425,84121,Coweta County,2020,13,077
426,48184,Crawford County,2020,13,079
427,36871,Crisp County,2020,13,081
428,41069,Dade County,2020,13,083
429,75081,Dawson County,2020,13,085
430,42996,Decatur County,2020,13,087
431,69545,DeKalb County,2020,13,089
432,42683,Dodge County,2020,13,091
433,45112,Dooly County,2020,13,093
434,40793,Dougherty County,2020,13,095
435,65269,Douglas County,2020,13,097
436,39697,Early County,2020,13,099
437,45378,Echols County,2020,13,101
438,77690,Effingham County,2020,13,103
439,43553,Elbert County,2020,13,105
440,36243,Emanuel County,2020,13,107
441,51018,Evans County,2020,13,109
442,44730,Fannin County,2020,13,111
443,98623,Fayette County,2020,13,113
444,47423,Floyd County,2020,13,115
445,116690,Forsyth County,2020,13,117
446,47706,Franklin County,2020,13,119
447,71504,Fulton County,2020,13,121
448,66066,Gilmer County,2020,13,123
449,50800,Glascock County,2020,13,125
450,59286,Glynn County,2020,13,127
451,54915,Gordon County,2020,13,129
452,54601,Grady County,2020,13,131
453,61857,Greene County,2020,13,133
454,73460,Gwinnett County,2020,13,135
455,61071,Habersham County,2020,13,137
456,67735,Hall County,2020,13,139
457,36424,Hancock County,2020,13,141
458,51431,Haralson County,2020,13,143
459,81151,Harris County,2020,13,145
460,52401,Hart County,2020,13,147
461,51532,Heard County,2020,13,149
462,69620,Henry County,2020,13,151
463,69442,Houston County,2020,13,153
464,47492,Irwin County,2020,13,155
465,70960,Jackson County,2020,13,157
466,57796,Jasper County,2020,13,159
467,44417,Jeff Davis County,2020,13,161
468,40333,Jefferson County,2020,13,163
469,38306,Jenkins County,2020,13,165
470,36358,Johnson County,2020,13,167
471,64812,Jones County,2020,13,169
472,55024,Lamar County,2020,13,171
473,35215,Lanier County,2020,13,173
474,46690,Laurens County,2020,13,175
475,74640,Lee County,2020,13,177
476,49788,Liberty County,2020,13,179
477,47883,Lincoln County,2020,13,181
478,53841,Long County,2020,13,183
479,48864,Lowndes County,2020,13,185
480,63822,Lumpkin County,2020,13,187
481,48392,McDuffie County,2020,13,189
482,48097,McIntosh County,2020,13,191
483,35997,Macon County,2020,13,193
484,50619,Madison County,2020,13,195
485,46792,Marion County,2020,13,197
486,45095,Meriwether County,2020,13,199
487,51855,Miller County,2020,13,201
488,38256,Mitchell County,2020,13,205
489,65599,Monroe County,2020,13,207
490,47074,Montgomery County,2020,13,209
491,68343,Morgan County,2020,13,211
492,58761,Murray County,2020,13,213
493,44959,Muscogee County,2020,13,215
494,62183,Newton County,2020,13,217
495,104519,Oconee County,2020,13,219
496,55678,Oglethorpe County,2020,13,221
497,77755,Paulding County,2020,13,223
498,51531,Peach County,2020,13,225
499,69781,Pickens County,2020,13,227
500,51696,Pierce County,2020,13,229
501,64986,Pike County,2020,13,231
502,51040,Polk County,2020,13,233
503,44019,Pulaski County,2020,13,235
504,56104,Putnam County,2020,13,237
505,37735,Quitman County,2020,13,239
506,53038,Rabun County,2020,13,241
507,36064,Randolph County,2020,13,243
508,43942,Richmond County,2020,13,245
509,61332,Rockdale County,2020,13,247
510,53163,Schley County,2020,13,249
511,44061,Screven County,2020,13,251
512,41778,Seminole County,2020,13,253
513,51019,Spalding County,2020,13,255
514,46626,Stephens County,2020,13,257
515,40205,Stewart County,2020,13,259
516,42653,Sumter County,2020,13,261
517,44458,Talbot County,2020,13,263
518,28004,Taliaferro County,2020,13,265
519,45191,Tattnall County,2020,13,267
520,38783,Taylor County,2020,13,269
521,38161,Telfair County,2020,13,271
522,39433,Terrell County,2020,13,273
523,57969,Thomas County,2020,13,275
524,45093,Tift County,2020,13,277
525,42165,Toombs County,2020,13,279
526,43640,Towns County,2020,13,281
527,40834,Treutlen County,2020,13,283
528,51799,Troup County,2020,13,285
529,46042,Turner County,2020,13,287
530,46444,Twiggs County,2020,13,289
531,50653,Union County,2020,13,291
532,48233,Upson County,2020,13,293
533,49388,Walker County,2020,13,295
534,71390,Walton County,2020,13,297
535,39994,Ware County,2020,13,299
536,40422,Warren County,2020,13,301
537,43309,Washington County,2020,13,303
538,48885,Wayne County,2020,13,305
539,45381,Webster County,2020,13,307
540,36671,Wheeler County,2020,13,309
541,58831,White County,2020,13,311
542,56249,Whitfield County,2020,13,313
543,40856,Wilcox County,2020,13,315
544,42071,Wilkes County,2020,13,317
545,44068,Wilkinson County,2020,13,319
546,47907,Worth County,2020,13,321
547,70313,Hawaii County,2020,15,001
548,89584,Honolulu County,2020,15,003
549,null,Kalawao County,2020,15,005
550,80517,Kauai County,2020,15,007
551,80763,Maui County,2020,15,009
552,73324,Ada County,2020,16,001
553,49967,Adams County,2020,16,003
554,54538,Bannock County,2020,16,005
555,55689,Bear Lake County,2020,16,007
556,53014,Benewah County,2020,16,009
557,65658,Bingham County,2020,16,011
558,76301,Blaine County,2020,16,013
559,55583,Boise County,2020,16,015
560,55241,Bonner County,2020,16,017
561,67294,Bonneville County,2020,16,019
562,52193,Boundary County,2020,16,021
563,52081,Butte County,2020,16,023
564,59409,Camas County,2020,16,025
565,57886,Canyon County,2020,16,027
566,63719,Caribou County,2020,16,029
567,64591,Cassia County,2020,16,031
568,52182,Clark County,2020,16,033
569,45377,Clearwater County,2020,16,035
570,53278,Custer County,2020,16,037
571,49450,Elmore County,2020,16,039
572,65396,Franklin County,2020,16,041
573,58658,Fremont County,2020,16,043
574,60526,Gem County,2020,16,045
575,57728,Gooding County,2020,16,047
576,51201,Idaho County,2020,16,049
577,66806,Jefferson County,2020,16,051
578,57342,Jerome County,2020,16,053
579,66959,Kootenai County,2020,16,055
580,59834,Latah County,2020,16,057
581,48908,Lemhi County,2020,16,059
582,52255,Lewis County,2020,16,061
583,58806,Lincoln County,2020,16,063
584,53727,Madison County,2020,16,065
585,56022,Minidoka County,2020,16,067
586,57839,Nez Perce County,2020,16,069
587,69357,Oneida County,2020,16,071
588,53910,Owyhee County,2020,16,073
589,60177,Payette County,2020,16,075
590,45404,Power County,2020,16,077
591,44336,Shoshone County,2020,16,079
592,74935,Teton County,2020,16,081
593,54995,Twin Falls County,2020,16,083
594,62600,Valley County,2020,16,085
595,49186,Washington County,2020,16,087
596,57434,Adams County,2020,17,001
597,38315,Alexander County,2020,17,003
598,58209,Bond County,2020,17,005
599,82318,Boone County,2020,17,007
600,52277,Brown County,2020,17,009
601,57728,Bureau County,2020,17,011
602,61648,Calhoun County,2020,17,013
603,53965,Carroll County,2020,17,015
604,54205,Cass County,2020,17,017
605,64387,Champaign County,2020,17,019
606,56656,Christian County,2020,17,021
607,59633,Clark County,2020,17,023
608,59602,Clay County,2020,17,025
609,71883,Clinton County,2020,17,027
610,46900,Coles County,2020,17,029
611,71611,Cook County,2020,17,031
612,57632,Crawford County,2020,17,033
613,68683,Cumberland County,2020,17,035
614,68546,DeKalb County,2020,17,037
615,65526,De Witt County,2020,17,039
616,63003,Douglas County,2020,17,041
617,92101,DuPage County,2020,17,043
618,52668,Edgar County,2020,17,045
619,55832,Edwards County,2020,17,047
620,65172,Effingham County,2020,17,049
621,49030,Fayette County,2020,17,051
622,58478,Ford County,2020,17,053
623,49834,Franklin County,2020,17,055
624,48828,Fulton County,2020,17,057
625,44282,Gallatin County,2020,17,059
626,51242,Greene County,2020,17,061
627,74935,Grundy County,2020,17,063
628,49302,Hamilton County,2020,17,065
629,54076,Hancock County,2020,17,067
630,39674,Hardin County,2020,17,069
631,58577,Henderson County,2020,17,071
632,63859,Henry County,2020,17,073
633,53633,Iroquois County,2020,17,075
634,45608,Jackson County,2020,17,077
635,57969,Jasper County,2020,17,079
636,58114,Jefferson County,2020,17,081
637,69341,Jersey County,2020,17,083
638,56446,Jo Daviess County,2020,17,085
639,51607,Johnson County,2020,17,087
640,83784,Kane County,2020,17,089
641,57413,Kankakee County,2020,17,091
642,97263,Kendall County,2020,17,093
643,52881,Knox County,2020,17,095
644,100325,Lake County,2020,17,097
645,62714,La Salle County,2020,17,099
646,47408,Lawrence County,2020,17,101
647,64310,Lee County,2020,17,103
648,66274,Livingston County,2020,17,105
649,65255,Logan County,2020,17,107
650,52155,McDonough County,2020,17,109
651,89730,McHenry County,2020,17,111
652,71919,McLean County,2020,17,113
653,57601,Macon County,2020,17,115
654,53312,Macoupin County,2020,17,117
655,63903,Madison County,2020,17,119
656,52019,Marion County,2020,17,121
657,54022,Marshall County,2020,17,123
658,53503,Mason County,2020,17,125
659,49054,Massac County,2020,17,127
660,69749,Menard County,2020,17,129
661,62857,Mercer County,2020,17,131
662,90880,Monroe County,2020,17,133
663,59497,Montgomery County,2020,17,135
664,54764,Morgan County,2020,17,137
665,61022,Moultrie County,2020,17,139
666,71470,Ogle County,2020,17,141
667,53506,Peoria County,2020,17,143
668,55132,Perry County,2020,17,145
669,69521,Piatt County,2020,17,147
670,48815,Pike County,2020,17,149
671,49071,Pope County,2020,17,151
672,40481,Pulaski County,2020,17,153
673,70070,Putnam County,2020,17,155
674,56867,Randolph County,2020,17,157
675,56900,Richland County,2020,17,159
676,58022,Rock Island County,2020,17,161
677,61863,St. Clair County,2020,17,163
678,45793,Saline County,2020,17,165
679,60541,Sangamon County,2020,17,167
680,53686,Schuyler County,2020,17,169
681,59285,Scott County,2020,17,171
682,64508,Shelby County,2020,17,173
683,54219,Stark County,2020,17,175
684,57952,Stephenson County,2020,17,177
685,69874,Tazewell County,2020,17,179
686,55736,Union County,2020,17,181
687,49678,Vermilion County,2020,17,183
688,56190,Wabash County,2020,17,185
689,57964,Warren County,2020,17,187
690,69386,Washington County,2020,17,189
691,49649,Wayne County,2020,17,191
692,46080,White County,2020,17,193
693,64413,Whiteside County,2020,17,195
694,90349,Will County,2020,17,197
695,59174,Williamson County,2020,17,199
696,54971,Winnebago County,2020,17,201
697,72980,Woodford County,2020,17,203
698,58602,Adams County,2020,18,001
699,61039,Allen County,2020,18,003
700,70545,Bartholomew County,2020,18,005
701,59663,Benton County,2020,18,007
702,49105,Blackford County,2020,18,009
703,92302,Boone County,2020,18,011
704,70930,Brown County,2020,18,013
705,62388,Carroll County,2020,18,015
706,50419,Cass County,2020,18,017
707,65555,Clark County,2020,18,019
708,56422,Clay County,2020,18,021
709,59503,Clinton County,2020,18,023
710,46884,Crawford County,2020,18,025
711,53101,Daviess County,2020,18,027
712,73459,Dearborn County,2020,18,029
713,61561,Decatur County,2020,18,031
714,62411,De Kalb County,2020,18,033
715,46612,Delaware County,2020,18,035
716,64120,Dubois County,2020,18,037
717,66801,Elkhart County,2020,18,039
718,53616,Fayette County,2020,18,041
719,70610,Floyd County,2020,18,043
720,55627,Fountain County,2020,18,045
721,71828,Franklin County,2020,18,047
722,55895,Fulton County,2020,18,049
723,59074,Gibson County,2020,18,051
724,49788,Grant County,2020,18,053
725,55213,Greene County,2020,18,055
726,96359,Hamilton County,2020,18,057
727,77916,Hancock County,2020,18,059
728,62082,Harrison County,2020,18,061
729,86905,Hendricks County,2020,18,063
730,54002,Henry County,2020,18,065
731,59309,Howard County,2020,18,067
732,59252,Huntington County,2020,18,069
733,62415,Jackson County,2020,18,071
734,70662,Jasper County,2020,18,073
735,42504,Jay County,2020,18,075
736,55588,Jefferson County,2020,18,077
737,60526,Jennings County,2020,18,079
738,76868,Johnson County,2020,18,081
739,44842,Knox County,2020,18,083
740,62269,Kosciusko County,2020,18,085
741,72513,Lagrange County,2020,18,087
742,59158,Lake County,2020,18,089
743,63999,La Porte County,2020,18,091
744,63904,Lawrence County,2020,18,093
745,51718,Madison County,2020,18,095
746,56185,Marion County,2020,18,097
747,57657,Marshall County,2020,18,099
748,46486,Martin County,2020,18,101
749,54439,Miami County,2020,18,103
750,61808,Monroe County,2020,18,105
751,58867,Montgomery County,2020,18,107
752,67004,Morgan County,2020,18,109
753,59246,Newton County,2020,18,111
754,62173,Noble County,2020,18,113
755,63210,Ohio County,2020,18,115
756,52029,Orange County,2020,18,117
757,53893,Owen County,2020,18,119
758,54125,Parke County,2020,18,121
759,44011,Perry County,2020,18,123
760,58220,Pike County,2020,18,125
761,78732,Porter County,2020,18,127
762,63801,Posey County,2020,18,129
763,52609,Pulaski County,2020,18,131
764,66613,Putnam County,2020,18,133
765,67178,Randolph County,2020,18,135
766,58849,Ripley County,2020,18,137
